Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
createControl	1	3	0.07	3	0.07	3	3	3	http://pl-l01899/SaaS/scripts/saas.webui/objectlayout/objectlayoutformview.js?t=20120312043903	"1,110"
setEvent	17	6	0.14	2	0.05	0.35	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"3,123"
Object.toString	"15,865"	10	0.24	2	0.05	0	1	0		0
String.toLowerCase	"7,520"	2	0.05	2	0.05	0	1	0		0
getAppCookieVal	14	2	0.05	2	0.05	0.14	1	0	http://pl-l01899/SaaS/scripts/ext.frs/session.js?t=20120301074919	297
getXY	557	143.01	3.44	2	0.05	0.26	8	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,405"
getPageX	558	130.01	3.13	2	0.05	0.23	8	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,396"
onTargetOver	53	31	0.75	2	0.05	0.59	26	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	794
JScript - window script block	67	2	0.05	2	0.05	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,324"
addToCache	457	2	0.05	2	0.05	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,455"
isFunction	"1,486"	7	0.17	2	0.05	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	339
render	113	"1,021.10"	24.58	2	0.05	9.04	622.06	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,100"
data	284	6	0.14	2	0.05	0.02	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,466"
insertBefore	5	2	0.05	2	0.05	0.4	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,423"
realign	16	2	0.05	2	0.05	0.13	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,750"
isEmpty	732	5	0.12	2	0.05	0.01	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	314
JScript - window script block	266	69.01	1.66	2	0.05	0.26	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,078"
adjustHeight	50	13	0.31	2	0.05	0.26	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,633"
createHtml	110	6	0.14	2	0.05	0.06	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	159
iterate	110	59.01	1.42	2	0.05	0.54	54.01	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	261
Object.hasOwnProperty	"4,964"	2	0.05	2	0.05	0	1	0		0
doLayout	230	"1,232.12"	29.66	2	0.05	5.36	361.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,583"
item	505	2	0.05	2	0.05	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,855"
getType	741	2	0.05	2	0.05	0	1	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	265
show	1	414.04	9.97	2	0.05	414.04	414.04	414.04	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/window-debug.js?t=20111007011424	"1,504"
JScript - window script block	183	5	0.12	2	0.05	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,506"
